HANDLE,p_address,c_address,p_lcra,p_lra,p_landBank,c_lra,p_typeSimple,c_typeDetail,c_typeSimple,compare_type,p_low
14019000060,1324 TAMM AVE,1324 TAMM AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14019000135,6314 R WEST PARK AVE,6314R WEST PARK AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14022000110,1725 JANUARY AVE,1725 JANUARY AV,FALSE,TRUE,TRUE,TRUE,unknown,"vacant lot, confirmed",lot,unmatched,TRUE
14038000235,5323 DAGGETT AVE,5323 DAGGETT AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14038000265,5333 DAGGETT AVE,5333 DAGGETT AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14039000350,2022 MACKLIND AVE,2022 MACKLIND AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14039000360,2018 MACKLIND AVE,2018 MACKLIND AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,FALSE
14045000163,5525 R WILSON AVE,5525R WILSON AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14048020130,5526 DUGAN AVE,5526 DUGAN AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14048020245,5527 BOTANICAL AVE,5527 BOTANICAL AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14050050360,2703 DALTON AVE,2703 DALTON AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14050050430,2733 DALTON AVE,2733 DALTON AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14052000050,5714 SOUTHWEST AVE,5714 SOUTHWEST AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14053010180,2618 DALTON AVE,2618 DALTON AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
14054010100,5612 S MAGNOLIA AVE,5612 S MAGNOLIA AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14054110030,5628 N MAGNOLIA AVE,5628 N MAGNOLIA AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14054110100,5623 S MAGNOLIA AVE,5623 S MAGNOLIA AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14056000040,5444 ODELL ST,5444 ODELL ST,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14058180010,5460 SOUTHWEST AVE,5460 SOUTHWEST AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14058180351,5501 REBER PL,5501 REBER PL,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14058180390,5518 SOUTHWEST AVE,5518 SOUTHWEST AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14058180420,5506 SOUTHWEST AVE,5506 SOUTHWEST AV,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14062000080,5328 BISCHOFF AVE,5328 BISCHOFF AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14064000140,5322 SOUTHWEST AVE,5322 SOUTHWEST AV,FALSE,FALSE,FALSE,FALSE,building,"vacant lot, confirmed",lot,unmatched,TRUE
14064000150,5318 - 5320 SOUTHWEST AVE,5320 SOUTHWEST AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
14064000330,2635 - 2637 BRANNON AVE,2635-7 BRANNON AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
14064000340,2639 - 2641 BRANNON AVE,2639-41 BRANNON AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
14065000012,5378 MAGNOLIA AVE,5378 MAGNOLIA AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
